# Radial distribution function (400 data points):
# "Pair separation distance" g(r)
2.965 0.906989932 
2.975 0.9017646592 
2.985 0.900649716 
2.995 0.9021267382 
3.005 0.8985412757 
3.015 0.8916721449 
3.025 0.8926752414 
3.035 0.8899750863 
3.045 0.8834888166 
3.055 0.8811439 
3.065 0.8836553647 
3.075 0.8843821769 
3.085 0.8772283067 
3.095 0.8721122415 
3.105 0.8710426745 
3.115 0.8679237834 
3.125 0.8725907091 
3.135 0.8700640236 
3.145 0.8702458609 
3.155 0.8741930401 
3.165 0.8871391288 
3.175 0.898877321 
3.185 0.90701105 
3.195 0.9200140753 
3.205 0.9252405971 
3.215 0.9261657755 
3.225 0.9363535815 
3.235 0.9399362113 
3.245 0.937411923 
3.255 0.9449270937 
3.265 0.9496203215 
3.275 0.9401249275 
3.285 0.9378488303 
3.295 0.9356921927 
3.305 0.9255982215 
3.315 0.9215935741 
3.325 0.9077087357 
3.335 0.8942701956 
3.345 0.887125544 
3.355 0.8849817084 
3.365 0.8800527909 
3.375 0.8708679593 
3.385 0.8669716292 
3.395 0.8639064785 
3.405 0.8662192385 
3.415 0.860300666 
3.425 0.8611940137 
3.435 0.8612149496 
3.445 0.8649082806 
3.455 0.8685185781 
3.465 0.8733220973 
3.475 0.8867291469 
3.485 0.8927833801 
3.495 0.9013320556 
3.505 0.9079437256 
3.515 0.9160967999 
3.525 0.9291122318 
3.535 0.9431002027 
3.545 0.9560749952 
3.555 0.9656264144 
3.565 0.9789612001 
3.575 0.9927569717 
3.585 1.0028867622 
3.595 1.0195846236 
3.605 1.0283761238 
3.615 1.0389874728 
3.625 1.0488151318 
3.635 1.0673894706 
3.645 1.0710298333 
3.655 1.0841558073 
3.665 1.0930591839 
3.675 1.1178859888 
3.685 1.1358838611 
3.695 1.1478042226 
3.705 1.1643480925 
3.715 1.1725597456 
3.725 1.1810417277 
3.735 1.1912192021 
3.745 1.1891033301 
3.755 1.1877716832 
3.765 1.1887681062 
3.775 1.1881676122 
3.785 1.1878158975 
3.795 1.1853219956 
3.805 1.1868500099 
3.815 1.184014627 
3.825 1.1781101052 
3.835 1.1767893664 
3.845 1.1668900297 
3.855 1.158485557 
3.865 1.1516877335 
3.875 1.1428198046 
3.885 1.12818147 
3.895 1.1130462894 
3.905 1.0969560199 
3.915 1.0780191776 
3.925 1.0581935683 
3.935 1.0418973059 
3.945 1.0213510511 
3.955 1.002106166 
3.965 0.9818389804 
3.975 0.9622912485 
3.985 0.9390745013 
3.995 0.9246811091 
